"site" "turbidity" "chlA" "zooplankton"
"A" "6.20289707835764" 1.56234218506142 184263.001639561
"B" "4.47232706518844" 2.85613748594187 230549.644930511
"C" "9.62749182782136" 1.58272766973823 287.850784022246
"D" "3.14739595656283" 2.99422397161834 209.647369231688
"EE" "9.42230038670823" 3.83200470474549 398.688426791576
"A" "." 4.51191604137421 394247.210859759
"B" "8.31232008594088" 2.75796637521125 306165.582682192
"C" "9.92713909689337" 2.99066181643866 331551.706020565
"D" "9.91608105809428" 0.595089643029496 199.31949944844
"EE" "9.35236772731878" 4.92802763008513 430.494588398877
"A" "5.95476706745103" 3.72927838121541 307.816830534464
"B" "5.68240529065952" 0.883573645260185 174.044194736537
"C" "9.68596255593002" 0.748535696184263 207.298513709309
"D" "5.67467966186814" 0.904272391926497 165.682848255457
"EE" "3.06432452634908" 3.91144174267538 262.567087730068
"A" "4.94809906533919" 1.56076522660442 127.43880113007
"B" "6.27289260947146" 1.60747584188357 213.893446998332
"C" "4.84401841345243" 4.01711724349298 300002.132867745
"D" "4.73190347198397" 4.44645181065425 313456.263478564
"EE" "3.60522171715274" 2.16215376276523 176.005309416172
"A" "3.92742809629999" 3.5514936351683 235471.761163338
"B" "8.74081467138603" 3.41843020403758 341.520814775324
"C" "7.32193078030832" 1.81728214491159 248.039397077949
"D" "5.90950136375614" 1.26521602156572 171.117998777735
"EE" "4.78497856552713" 4.16514106211253 311.536343943754
"A" "6.40475845802575" 0.479603915009648 101.998195763095
"B" "4.51227780198678" 1.09339455142617 154.462626995039
"C" "5.21343711088412" 1.42483663395979 187.670479324157
"D" "5.04682116420008" 0.496506275376305 133168.529120053
"EE" "3.86874869652092" 1.3925897073932 140.490032092634
"A" "8.68380579235964" 1.37578932917677 246.129281767346
"B" "4.95591535419226" 1.9759773707483 195.405851582469
"C" "9.93261994305067" 4.03279677964747 392.577414837377
"D" "5.37329784152098" 2.36627514706925 233.802515417763
"EE" "5.46498314943165" 0.478217386407778 142.882721188695
"A" "7.05819773045368" 0.197005022782832 158.447442112421
"B" "7.18459331686608" 3.194808420958 303.074675566931
"C" "4.32593691931106" 2.72326683741994 227913.764927766
"D" "7.20256734476425" 2.11176455835812 255.657804851927
"EE" "8.94755537179299" 1.50758358766325 250.351637252562
"A" "8.94893004372716" 1.54834334156476 247.592848940457
"B" "8.78248022566549" 3.44640976982191 367.523687086056
"C" "6.13719027698971" 3.80934188724495 316.727428231134
"D" "9.90739168087021" 4.32580851716921 409.851604830168
"EE" "7.85388588299975" 2.6978296157904 276.990766455773
"A" "6.65574544575065" 1.06268599629402 199.674946118625
"B" "." 2.15441381442361 198.961795237548
"C" "5.56755641032942" 3.07300798362121 258.997867364706
"D" "4.55480578891002" 1.02965504629537 131.975714603144
"EE" "3.22712851455435" 1.85234438860789 150.737234158071
"A" "." 0.0474372506141663 121747.638359724
"B" "5.2849557721056" 2.26175614865497 207.76871246027
"C" "7.95385547284968" 3.72199005330913 361.642850993935
"D" "3.43830928439274" 4.58374391426332 292.633180614503
"EE" "7.0551586560905" 4.77280252263881 363.771358432498
"A" "." 1.44389388617128 234785.803248016
"B" "4.22078377287835" 49.7757342422847 205.842367450345
"C" "8.45718681323342" 3.46106900717132 331.917208425485
"D" "6.1970752668567" 4.38511944259517 315.1586390033
"EE" "8.58312710770406" 4.43726694327779 401.006672699044
"A" "4.2324095624499" 3.79000048036687 265.59348942227
"B" "9.94825525558554" 2.11420622770675 305.085750765895
"C" "3.04549250379205" 2.21830424037762 183.721869909361
"D" "5.71675775479525" 1.3189269695431 203031.074837845
"EE" "8.27426323760301" 4.59939854685217 385.544308380942
"A" "9.75874445377849" 25.6064807856455 310.864102962508
"B" "8.0865989162121" 1.23686939477921 232070.055631134
"C" "8.4911125919316" 3.40663720387965 351779.522423695
"D" "7.46074736560695" 2.05038270796649 265.129991409157
"EE" "3.12571016303264" 0.829005577834323 126.24930095265
"A" "4.35477213049307" 0.682767711114138 115.666211762599
"B" "7.13344317767769" 1.79655646323226 221.238740532473
"C" "6.8234960057307" 2.08376577938907 244.573778242413
"D" "9.05587402544916" 3.92214654595591 353.842291385231
"EE" "3.64451813721098" 0.172357251867652 89.5832620700682
"A" "4.80780877568759" 1.36299870442599 162.439238651156
"B" "4.81505592190661" 3.9762251614593 289067.689275428
"C" "6.5963160477113" 2.2371554968413 263.574181779341
"D" "5.33564512198791" 0.186337009072304 148.78977900568
"EE" "5.7306637216825" 4.43512754049152 341.925406385256
"A" "." 0.668888869695365 173.186030836194
"B" "3.39330771006644" 3.38548614876345 240.343695507803
"C" "8.06577622843906" 0.535111769568175 158.129264810635
"D" "8.9817899253685" 2.5033930700738 322390.472042486
"EE" "5.10345329367556" 3.6682036484126 298.418618714296
"A" "8.65090622962452" 2.34916727873497 309.880104568127
"B" "5.06402839371003" 2.12044120184146 228313.229100845
"C" "5.22004782105796" 0.401752538746223 119.488740356262
"D" "3.82095056585968" 2.88688913569786 186630.61071135
"EE" "3.9429276518058" 1.91778000444174 182.643066424759
"A" "3.3816988656763" 1.79728585411794 171.887321483691
"B" "9.28148846025579" 2.02969425823539 277.916797434604
"C" "8.22257835627533" 0.393516605254263 184.620513638392
"D" "5.68158620293252" 3.85926731629297 284.498840499834
"EE" "9.85691753169522" 4.00285299285315 404.093574622563
"A" "3.53221086948179" 0.155604740139097 48027.5502120825
"B" "8.91915079508908" 4.43662100820802 391.492591308947
"C" "6.50334253441542" 1.90622896538116 194.923525706255
