State,Infected County,WNV incidence,Species Richness,Corvid Abundance
AL,"Autauga, AL                    ",2.29,66,8
AL,"Calhoun , AL                     ",0.891,67,64
AL,"Chambers, AL                        ",2.734,41,69
AL,"Dallas , AL                         ",2.157,60,66
AL,"Marengo , AL                        ",8.874,69,64
AL,"Marion, AL                          ",3.204,,NOT AVAILABLE
AL,"Mobile, AL                          ",1.25,56,59
AL,"Montgomery , AL                     ",4.474,65,129
AL,"Tuscaloosa, AL                      ",4.246,54,54
CT,"Hartford, CT                        ",0.7,52,100
DE,"Kent, DE                            ",0.789,81,62
FL,"Hillsborough, FL                ",0.1,51,82
GA,"Houston, GA                     ",1.806,47,102
IL,"Henderson, IL                   ",24.352,59,35
IL,"LaSalle, IL                     ",9.865,49,31
IL,"Menard, IL                      ",8.009,51,13
IL,"St. Clair, IL                   ",5.858,72,51
IL,"Stephenson, IL                  ",2.042,53,60
IL,"Tazewell, IL                    ",0.778,54,10
IL,"Winnebago, IL                   ",0.359,49,87
IN,"Fulton, IN                      ",9.751,61,53
IN,"Jackson, IN                     ",12.096,81,9999
IN,"Vanderburgh, IN                 ",2.908,62,34
KY,"Edmonson, KY                    ",8.588,70,86
MD,"Anne Arundel, MD                ",1.634,71,75
MD,"Baltimore, MD                   ",0.133,57,102
MD,"Frederick, MD                   ",2.56,87,216
MD,"Washington, MD                  ",0.758,64,71
MA,"Essex, MA                       ",0.276,50,43
MA,"Middlesex, MA                   ",0.682,62,57
MA,"Worcester, MA                   ",0.133,71,98
MI,"Cass, MI                        ",7.827,70,84
MI,"Eaton, MI                       ",0.965,59,44
MI,"Lapeer, MI                      ",1.138,63,109
MS,"Lauderdale, MS                  ",2.559,58,165
NJ,"Cumberland, NJ                  ",0.683,51,44
NJ,"Middlesex, NJ                   ",0.133,46,68
NY,"Broome, NY                      ",3.491,66,48
NY,"Clinton, NY                     ",1.252,53,34
NY,"Erie, NY                        ",0.947,59,63
NY,"Yates, NY                       ",4.062,58,9999
OH,"Marion, OH                      ",4.531,56,52
OH,"Ross, OH                        ",1.363,58,24
PA,"Beaver, PA                      ",0.551,43,39
PA,"Erie, PA                        ",1.424,65,41
PA,"Franklin, PA                    ",0.773,51,32
PA,"Lancaster, PA                   ",1.487,51,47
PA,"Lycoming, PA                    ",0.833,63,23
PA,"Montgomery, PA                  ",0.267,54,135
PA,"Westmoreland, PA                ",0.27,60,49
TN,"Haywood, TN                     ",5.051,53,32
TN,"Sumner, TN                      ",0.767,39,27
WV,"Putnam, WV                      ",1.938,62,63
WV,"Wood, WV                        ",2.273,67,15
WI,"Adams, WI                       ",5.364,68,45
WI,"Clark, WI                       ",2.98,82,144
WI,"Green, WI                       ",2.972,70,61
WI,"Lincoln, WI                     ",3.374,76,71
WI,"Manitowoc, WI                   ",1.206,58,57
WI,"Marinette, WI                   ",2.305,60,29
WI,"Marquette, WI                   ",6.316,72,66
WI,"Racine, WI                      ",2.118,59,36
WI,"Rusk, WI                        ",6.516,72,46
WI,"Sauk, WI                        ",1.811,62,57
WI,"Winnebago, WI                   ",0.638,82,9999
AL,"Chilton, AL                         ",0,63,54
AL,"Cleburne, AL                        ",0,68,91
AL,"Tallapoosa, AL                      ",0,39,19
AL,"Perry, AL                           ",0,67,56
AL,"Choctaw, AL                         ",0,66,168
AL,"Franklin, AL                        ",0,63,14
AL,"Washington, AL                      ",0,47,71
AL,"Lowndes, AL                         ",0,59,43
AL,"Pickens, AL                         ",0,61,48
CT,"Tolland, CT                         ",0,65,70
MD,"Caroline, MD                    ",0,79,170
FL,"Pasco, FL                       ",0,54,75
GA,"Pulaski, GA                     ",-0.25,56,63
IL,"Warren, IL                      ",-0.335,30,6
IL,"Livingston, IL                  ",-5.6,48,18
IL,"Cass, IL                        ",-2.4,56,21
IL,"Monroe, IL                      ",0,68,29
IL,"Jo Daviess, IL                  ",0,58,34
IL,"Woodford, IL                    ",0,42,18
IL,"Boone, IL                       ",0,51,39
IN,"Cass, IN                        ",0,64,57
IN,"Lawrence, IN                    ",0,73,71
IN,"Warrick, IN                     ",0,55,26
KY,"Warren, KY                      ",0,61,31
